seic,seic_benefit,SEIC ERROR,health,health_benefit,Health ERROR,house,house_benefit,House ERROR,nutrition,nutrition_benefit,Nutrition ERROR,livelihood,livelihood_benefit,livelihood ERROR,education,education_benefit,Education ERROR,scheme1,scheme1_benefit,Scheme-1 ERROR,scheme2,scheme2_benefit,Scheme-2 ERROR
62,46949,No Error,28,37192,No Error,36,50056,No Error,87,22136,No Error,75,98112,No Error,87,30965,No Error,100,Eligible,No Error,59,Eligible,No Error
46,10813,No Error,46,324,No Error,42,26551,No Error,78,79328,No Error,20,10087,No Error,46,32596,No Error,38,Non-Eligible,No Error,58,Non-Eligible,No Error
66,17154,No Error,30,57197,No Error,84,31483,No Error,93,38929,No Error,94,38214,No Error,33,79805,No Error,68,Non-Eligible,No Error,99,Eligible,No Error
70,93181,No Error,90,57656,No Error,60,32545,No Error,98,67357,No Error,9,28718,No Error,97,67606,No Error,85,Non-Eligible,EOE,98,Non-Eligible,EOE
48,31649,No Error,45,3999,No Error,70,61904,No Error,34,22924,No Error,4,51553,EOI,91,40163,No Error,22,Non-Eligible,No Error,32,Eligible,No Error
68,51352,No Error,99,74768,No Error,72,5196,No Error,36,77936,No Error,96,45059,No Error,41,43921,No Error,92,Eligible,No Error,60,Non-Eligible,No Error
59,2296,No Error,84,41977,No Error,67,20383,No Error,31,72117,No Error,34,69617,No Error,83,61673,No Error,82,Eligible,No Error,86,Eligible,No Error
50,13241,No Error,53,24530,No Error,51,12246,No Error,31,34999,No Error,16,94159,EOI,100,79604,No Error,40,Non-Eligible,No Error,74,Eligible,No Error
54,55780,No Error,29,56326,No Error,96,58587,No Error,24,51931,EOI,71,3751,No Error,54,47492,No Error,72,Eligible,No Error,25,Non-Eligible,No Error
73,95738,No Error,60,18473,No Error,62,43587,No Error,70,75481,No Error,83,42845,No Error,91,72350,No Error,38,Eligible,No Error,76,Non-Eligible,No Error
64,27287,No Error,40,19342,No Error,65,46971,No Error,69,63159,No Error,66,86938,No Error,83,71980,No Error,37,Non-Eligible,No Error,58,Non-Eligible,No Error
48,80473,No Error,29,55135,No Error,33,33959,No Error,83,52180,No Error,62,86338,No Error,37,22513,No Error,42,Eligible,No Error,20,Non-Eligible,No Error
69,59077,No Error,92,72113,No Error,83,54889,No Error,25,65025,EOI,54,66993,No Error,91,68485,No Error,87,Non-Eligible,EOE,83,Non-Eligible,EOE
49,26088,No Error,94,63455,No Error,71,40994,No Error,20,1906,No Error,18,57351,EOI,43,3798,No Error,40,Non-Eligible,No Error,78,Non-Eligible,No Error
61,81011,No Error,73,65173,No Error,92,6483,EOE,62,28951,No Error,18,39130,No Error,61,66420,No Error,74,Non-Eligible,No Error,11,Non-Eligible,No Error
58,42049,No Error,58,32802,No Error,97,71899,No Error,54,74246,No Error,5,28201,No Error,80,65436,No Error,75,Eligible,No Error,26,Eligible,No Error
49,346,No Error,92,16183,No Error,30,76238,No Error,22,43074,EOI,58,5492,No Error,47,53623,No Error,95,Non-Eligible,EOE,30,Non-Eligible,No Error
63,92339,No Error,81,53601,No Error,100,16108,No Error,35,45961,No Error,58,1157,No Error,42,54861,No Error,37,Eligible,No Error,77,Non-Eligible,No Error
63,24130,No Error,73,37968,No Error,96,65894,No Error,22,33791,No Error,42,56411,No Error,84,3013,EOE,75,Non-Eligible,No Error,53,Eligible,No Error
68,947,No Error,74,79373,No Error,51,72355,No Error,88,77986,No Error,35,80720,No Error,92,1066,EOE,43,Non-Eligible,No Error,15,Non-Eligible,No Error
63,97582,No Error,29,76052,No Error,86,41173,No Error,51,46790,No Error,87,29967,No Error,64,71416,No Error,46,Eligible,No Error,21,Eligible,No Error
66,34861,No Error,91,61846,No Error,58,17395,No Error,68,29095,No Error,19,42422,EOI,98,55979,No Error,49,Non-Eligible,No Error,82,Eligible,No Error
53,77423,No Error,80,72332,No Error,98,33812,No Error,21,74134,EOI,30,88741,No Error,40,63004,No Error,79,Eligible,No Error,24,Non-Eligible,No Error
59,39340,No Error,97,74603,No Error,43,42407,No Error,13,45856,EOI,90,28240,No Error,54,33254,No Error,38,Eligible,No Error,98,Eligible,No Error
59,43991,No Error,61,48661,No Error,43,11155,No Error,53,77768,No Error,59,5192,No Error,79,31816,No Error,75,Eligible,No Error,33,Non-Eligible,No Error
69,94946,No Error,82,68335,No Error,83,38860,No Error,62,33312,No Error,50,41720,No Error,70,18940,No Error,50,Eligible,No Error,80,Eligible,No Error
54,39493,No Error,55,24759,No Error,70,45497,No Error,58,47428,No Error,28,27167,No Error,60,62526,No Error,23,Non-Eligible,No Error,58,Eligible,No Error
73,71090,No Error,90,34079,No Error,55,44073,No Error,98,44710,No Error,52,30474,No Error,72,70500,No Error,33,Non-Eligible,No Error,40,Eligible,No Error
58,24520,No Error,60,52522,No Error,59,22604,No Error,67,27847,No Error,31,5158,No Error,77,76242,No Error,90,Non-Eligible,EOE,96,Eligible,No Error
59,84136,No Error,26,61018,No Error,98,14968,No Error,37,56568,No Error,38,58216,No Error,97,57206,No Error,77,Non-Eligible,No Error,51,Eligible,No Error
59,46629,No Error,84,28768,No Error,40,51227,No Error,39,48008,No Error,73,48672,No Error,61,52781,No Error,50,Eligible,No Error,78,Eligible,No Error
70,27305,No Error,39,61949,No Error,91,76628,No Error,80,54342,No Error,72,19045,No Error,70,15581,No Error,77,Eligible,No Error,89,Eligible,No Error
45,17872,No Error,20,32309,No Error,52,5337,No Error,39,10026,No Error,53,65628,No Error,65,28648,No Error,47,Eligible,No Error,88,Eligible,No Error
51,59289,No Error,74,59562,No Error,31,70843,No Error,26,40543,No Error,89,26946,No Error,38,30648,No Error,46,Eligible,No Error,57,Non-Eligible,No Error
46,42025,No Error,29,56584,No Error,86,67799,No Error,25,52443,EOI,11,36253,No Error,79,28561,No Error,67,Eligible,No Error,97,Non-Eligible,EOE
66,59000,No Error,24,32191,No Error,75,54395,No Error,45,33494,No Error,92,99380,No Error,95,52284,No Error,99,Non-Eligible,EOE,56,Eligible,No Error
53,26451,No Error,51,79241,No Error,51,8033,No Error,76,79329,No Error,59,7086,No Error,31,1816,No Error,27,Non-Eligible,No Error,94,Non-Eligible,EOE
57,62928,No Error,52,12852,No Error,68,9205,No Error,67,22069,No Error,57,61906,No Error,41,10881,No Error,66,Non-Eligible,No Error,16,Eligible,EOI
53,86741,No Error,29,681,No Error,42,60061,No Error,85,48303,No Error,60,83872,No Error,52,52481,No Error,66,Non-Eligible,No Error,80,Eligible,No Error
54,56509,No Error,91,9876,EOE,43,47903,No Error,64,62284,No Error,35,42377,No Error,40,62230,No Error,55,Eligible,No Error,30,Non-Eligible,No Error
53,99632,No Error,24,74677,EOI,94,74996,No Error,36,11933,No Error,35,3962,No Error,76,7811,EOE,20,Non-Eligible,No Error,32,Eligible,No Error
63,40154,No Error,81,4343,EOE,78,24743,No Error,71,57354,No Error,25,66897,EOI,63,75452,No Error,73,Non-Eligible,No Error,19,Non-Eligible,No Error
61,7038,No Error,33,2856,No Error,57,37336,No Error,83,46593,No Error,34,58578,No Error,100,1194,EOE,26,Non-Eligible,No Error,91,Non-Eligible,EOE
58,88124,No Error,29,28330,No Error,51,13472,No Error,71,75837,No Error,47,69131,No Error,95,23452,No Error,58,Eligible,No Error,30,Eligible,No Error
53,87642,No Error,91,67401,No Error,67,27919,No Error,40,70948,No Error,20,35518,No Error,47,22917,No Error,70,Eligible,No Error,90,Eligible,No Error
77,27368,No Error,23,13824,No Error,89,4242,EOE,92,54533,No Error,95,58042,No Error,90,38349,No Error,26,Non-Eligible,No Error,31,Eligible,No Error
63,24698,No Error,80,26519,No Error,44,57485,No Error,38,63225,No Error,76,72985,No Error,80,28232,No Error,65,Non-Eligible,No Error,24,Eligible,No Error
57,15146,No Error,80,20664,No Error,68,28685,No Error,42,54226,No Error,65,40867,No Error,32,68186,No Error,43,Non-Eligible,No Error,30,Eligible,No Error
56,25402,No Error,85,4535,EOE,51,63143,No Error,69,25039,No Error,18,65719,EOI,59,54939,No Error,80,Eligible,No Error,69,Non-Eligible,No Error
63,84370,No Error,83,56548,No Error,65,55428,No Error,79,31872,No Error,57,17978,No Error,31,13516,No Error,63,Eligible,No Error,63,Non-Eligible,No Error
49,52837,No Error,44,76998,No Error,58,40943,No Error,49,74577,No Error,21,68320,EOI,77,65675,No Error,45,Non-Eligible,No Error,89,Non-Eligible,EOE
67,37278,No Error,55,79151,No Error,42,14901,No Error,88,73771,No Error,64,11495,No Error,86,49146,No Error,78,Non-Eligible,No Error,66,Non-Eligible,No Error
57,57046,No Error,38,69715,No Error,97,56179,No Error,34,65503,No Error,86,72264,No Error,34,18705,No Error,55,Non-Eligible,No Error,19,Eligible,EOI
41,66553,No Error,26,1609,No Error,55,19742,No Error,38,9392,No Error,21,58610,EOI,66,34012,No Error,83,Eligible,No Error,35,Eligible,No Error
70,43156,No Error,100,63574,No Error,68,24126,No Error,49,68796,No Error,80,24446,No Error,54,2899,No Error,59,Eligible,No Error,97,Eligible,No Error
54,52653,No Error,79,5474,EOE,39,73246,No Error,93,28706,No Error,2,49275,EOI,60,36170,No Error,83,Eligible,No Error,53,Non-Eligible,No Error
32,28725,No Error,30,62464,No Error,31,37476,No Error,13,54285,EOI,7,39702,No Error,80,26555,No Error,48,Eligible,No Error,92,Non-Eligible,EOE
67,53005,No Error,97,65635,No Error,61,61895,No Error,79,41671,No Error,18,96,No Error,84,11944,No Error,68,Eligible,No Error,33,Eligible,No Error
70,44822,No Error,82,8932,EOE,84,39553,No Error,29,77584,No Error,61,63907,No Error,94,73592,No Error,97,Non-Eligible,EOE,25,Non-Eligible,No Error
60,10847,No Error,31,65981,No Error,89,74783,No Error,10,66787,EOI,85,89849,No Error,88,51696,No Error,40,Eligible,No Error,99,Eligible,No Error
68,52150,No Error,47,10251,No Error,70,45277,No Error,78,43802,No Error,97,31758,No Error,48,12919,No Error,100,Non-Eligible,EOE,20,Non-Eligible,No Error
43,47819,No Error,24,17426,No Error,72,906,No Error,11,38264,No Error,69,41416,No Error,39,31987,No Error,98,Eligible,No Error,94,Non-Eligible,EOE
45,45977,No Error,48,31880,No Error,96,49042,No Error,11,47014,EOI,18,37140,No Error,56,22875,No Error,30,Non-Eligible,No Error,97,Eligible,No Error
60,20054,No Error,74,39767,No Error,68,67305,No Error,31,14580,No Error,73,39626,No Error,58,60491,No Error,66,Eligible,No Error,25,Eligible,No Error
63,81257,No Error,90,13893,No Error,68,2738,No Error,31,60004,No Error,68,55366,No Error,58,38664,No Error,83,Eligible,No Error,99,Non-Eligible,EOE
73,38059,No Error,66,11015,No Error,81,29278,No Error,65,6085,No Error,89,99093,No Error,65,78445,No Error,31,Eligible,No Error,29,Non-Eligible,No Error
73,32210,No Error,93,58086,No Error,74,27514,No Error,47,16293,No Error,61,80186,No Error,94,11357,No Error,84,Eligible,No Error,42,Non-Eligible,No Error
53,4331,No Error,24,59088,EOI,54,56586,No Error,89,46577,No Error,33,80966,No Error,68,16634,No Error,63,Non-Eligible,No Error,43,Non-Eligible,No Error
83,94896,No Error,93,60011,No Error,79,74337,No Error,71,77822,No Error,92,70080,No Error,83,9297,EOE,31,Non-Eligible,No Error,64,Non-Eligible,No Error
72,97022,No Error,97,22766,No Error,41,49409,No Error,73,52253,No Error,95,73661,No Error,58,28829,No Error,20,Non-Eligible,No Error,79,Eligible,No Error
50,53307,No Error,37,55171,No Error,62,51700,No Error,15,15983,No Error,82,6850,EOE,58,2488,No Error,86,Non-Eligible,EOE,47,Eligible,No Error
53,22880,No Error,63,52249,No Error,56,30766,No Error,70,17350,No Error,46,41699,No Error,30,15385,No Error,80,Non-Eligible,EOE,59,Eligible,No Error
48,66856,No Error,57,27379,No Error,50,79319,No Error,70,27873,No Error,5,7825,No Error,59,19278,No Error,54,Non-Eligible,No Error,16,Non-Eligible,No Error
50,41823,No Error,37,53268,No Error,57,1416,No Error,69,28563,No Error,37,93653,No Error,52,58952,No Error,79,Non-Eligible,No Error,100,Eligible,No Error
62,92836,No Error,26,77844,No Error,70,15861,No Error,68,66562,No Error,56,8463,No Error,90,1380,EOE,76,Eligible,No Error,52,Non-Eligible,No Error
75,60371,No Error,85,37005,No Error,87,27775,No Error,49,46761,No Error,64,61157,No Error,91,1619,EOE,90,Eligible,No Error,16,Non-Eligible,No Error
44,32767,No Error,78,11520,No Error,43,56619,No Error,69,77655,No Error,1,33242,No Error,30,46857,No Error,56,Non-Eligible,No Error,86,Eligible,No Error
55,28797,No Error,42,70013,No Error,84,61728,No Error,65,9603,No Error,29,82000,No Error,55,61605,No Error,27,Non-Eligible,No Error,65,Eligible,No Error
72,50549,No Error,99,34969,No Error,83,75110,No Error,63,28394,No Error,38,89677,No Error,78,70324,No Error,61,Eligible,No Error,79,Non-Eligible,No Error
67,38210,No Error,85,61764,No Error,79,42255,No Error,31,12413,No Error,78,80487,No Error,63,26887,No Error,80,Eligible,No Error,97,Non-Eligible,EOE
41,71469,No Error,38,12710,No Error,41,74323,No Error,31,61337,No Error,50,77899,No Error,47,27928,No Error,80,Eligible,No Error,12,Eligible,EOI
71,53292,No Error,38,14872,No Error,74,10095,No Error,56,55529,No Error,90,91724,No Error,98,41102,No Error,61,Non-Eligible,No Error,25,Non-Eligible,No Error
55,14904,No Error,38,66314,No Error,94,58731,No Error,89,7116,EOE,25,99196,EOI,30,46697,No Error,88,Eligible,No Error,86,Eligible,No Error
52,55412,No Error,92,48989,No Error,37,72168,No Error,23,7973,No Error,80,12285,No Error,32,74766,No Error,31,Eligible,No Error,18,Non-Eligible,No Error
64,13599,No Error,98,25637,No Error,31,60025,No Error,44,26839,No Error,77,88703,No Error,70,37136,No Error,56,Non-Eligible,No Error,72,Eligible,No Error
69,68841,No Error,51,79736,No Error,94,46153,No Error,63,67712,No Error,72,92070,No Error,66,34073,No Error,64,Non-Eligible,No Error,68,Eligible,No Error
75,36560,No Error,53,66031,No Error,82,36817,No Error,69,38443,No Error,100,24562,No Error,73,20313,No Error,50,Eligible,No Error,100,Eligible,No Error
58,68755,No Error,83,9752,EOE,34,14748,No Error,95,60381,No Error,47,3785,No Error,33,69754,No Error,87,Eligible,No Error,37,Non-Eligible,No Error
61,86678,No Error,67,48718,No Error,39,36338,No Error,83,26894,No Error,48,27993,No Error,71,6025,No Error,58,Non-Eligible,No Error,54,Eligible,No Error
48,60497,No Error,45,32062,No Error,64,60769,No Error,26,6228,No Error,59,78882,No Error,48,62637,No Error,40,Eligible,No Error,78,Non-Eligible,No Error
74,37317,No Error,88,61110,No Error,42,24309,No Error,90,41678,No Error,55,46446,No Error,95,17708,No Error,83,Eligible,No Error,31,Non-Eligible,No Error
54,53869,No Error,59,39669,No Error,40,116,No Error,46,3352,No Error,30,97609,No Error,99,35684,No Error,70,Eligible,No Error,37,Non-Eligible,No Error
45,396,No Error,23,5857,No Error,75,45625,No Error,13,38733,No Error,18,87805,EOI,99,56897,No Error,36,Non-Eligible,No Error,32,Non-Eligible,No Error
55,89429,No Error,66,68252,No Error,56,44623,No Error,78,36026,No Error,8,63983,EOI,68,48851,No Error,67,Eligible,No Error,41,Eligible,No Error
69,73090,No Error,80,13489,No Error,86,50590,No Error,33,42218,No Error,53,11618,No Error,96,49476,No Error,70,Eligible,No Error,51,Non-Eligible,No Error
38,11498,No Error,37,6587,No Error,69,3506,No Error,17,15531,No Error,5,68610,EOI,64,36029,No Error,51,Non-Eligible,No Error,91,Eligible,No Error
73,27994,No Error,91,26915,No Error,70,26200,No Error,100,19541,No Error,58,89132,No Error,50,60661,No Error,72,Non-Eligible,No Error,38,Eligible,No Error
69,89320,No Error,61,23750,No Error,85,8434,EOE,51,76433,No Error,81,14681,No Error,69,27834,No Error,26,Eligible,No Error,21,Eligible,No Error
75,89932,No Error,72,1223,No Error,97,1839,EOE,76,46227,No Error,52,64408,No Error,81,10391,No Error,64,Non-Eligible,No Error,49,Non-Eligible,No Error
59,74795,No Error,51,23054,No Error,41,55508,No Error,53,28097,No Error,92,74196,No Error,61,46155,No Error,83,Non-Eligible,EOE,45,Non-Eligible,No Error
54,60885,No Error,99,28426,No Error,61,57513,No Error,14,33121,No Error,10,63755,EOI,87,67444,No Error,65,Eligible,No Error,78,Eligible,No Error
58,89875,No Error,58,51802,No Error,76,14804,No Error,20,33432,No Error,58,77136,No Error,78,67566,No Error,97,Non-Eligible,EOE,26,Non-Eligible,No Error
58,62305,No Error,86,40278,No Error,84,73036,No Error,57,71440,No Error,16,82673,EOI,51,40512,No Error,63,Eligible,No Error,68,Non-Eligible,No Error
54,13547,No Error,49,29183,No Error,53,28970,No Error,85,23760,No Error,33,26230,No Error,52,60416,No Error,51,Eligible,No Error,41,Non-Eligible,No Error
72,29030,No Error,35,21303,No Error,77,27764,No Error,85,55555,No Error,77,89144,No Error,87,35389,No Error,24,Non-Eligible,No Error,64,Eligible,No Error
62,31894,No Error,46,39050,No Error,77,16934,No Error,78,51833,No Error,21,90100,EOI,89,59479,No Error,54,Non-Eligible,No Error,61,Non-Eligible,No Error
78,8008,EOE,68,37172,No Error,98,73774,No Error,97,66457,No Error,67,27917,No Error,62,74803,No Error,26,Non-Eligible,No Error,46,Non-Eligible,No Error
40,95300,No Error,28,16892,No Error,42,49668,No Error,20,40062,EOI,28,28582,No Error,83,18253,No Error,72,Non-Eligible,No Error,93,Eligible,No Error
63,70060,No Error,88,67801,No Error,97,67362,No Error,19,50745,EOI,51,29940,No Error,63,33849,No Error,77,Non-Eligible,No Error,22,Eligible,No Error
84,64710,No Error,94,49109,No Error,94,39082,No Error,58,17240,No Error,87,74462,No Error,91,63209,No Error,70,Non-Eligible,No Error,31,Non-Eligible,No Error
57,24230,No Error,78,62864,No Error,40,45602,No Error,87,60043,No Error,9,90037,EOI,73,41549,No Error,96,Eligible,No Error,18,Non-Eligible,No Error
48,96872,No Error,47,48594,No Error,49,10037,No Error,67,66265,No Error,18,49852,EOI,62,38377,No Error,69,Eligible,No Error,89,Non-Eligible,EOE
64,74665,No Error,54,9311,No Error,59,23886,No Error,40,57324,No Error,78,5577,EOE,93,57423,No Error,85,Eligible,No Error,10,Eligible,EOI
61,31612,No Error,66,24180,No Error,34,53042,No Error,83,77216,No Error,43,48952,No Error,80,16975,No Error,54,Non-Eligible,No Error,70,Non-Eligible,No Error
52,75414,No Error,49,22556,No Error,49,36390,No Error,71,35225,No Error,37,80499,No Error,55,67769,No Error,69,Eligible,No Error,27,Eligible,No Error
55,27679,No Error,75,51440,No Error,53,27578,No Error,78,14701,No Error,2,96735,EOI,68,38272,No Error,52,Non-Eligible,No Error,77,Eligible,No Error
68,89175,No Error,38,75681,No Error,75,48607,No Error,73,75358,No Error,62,90395,No Error,94,49075,No Error,63,Non-Eligible,No Error,25,Non-Eligible,No Error
59,11439,No Error,69,73661,No Error,53,14670,No Error,39,62948,No Error,49,38428,No Error,88,69049,No Error,49,Eligible,No Error,16,Eligible,EOI
53,17829,No Error,87,73034,No Error,66,23249,No Error,37,71339,No Error,43,85686,No Error,35,41199,No Error,44,Eligible,No Error,74,Non-Eligible,No Error
58,16569,No Error,68,42608,No Error,42,73945,No Error,79,77572,No Error,60,70172,No Error,42,8914,No Error,29,Eligible,No Error,72,Eligible,No Error
63,73939,No Error,63,64161,No Error,56,24360,No Error,73,26351,No Error,60,13867,No Error,63,68518,No Error,80,Non-Eligible,EOE,65,Non-Eligible,No Error
45,59024,No Error,37,69938,No Error,47,57751,No Error,56,53755,No Error,26,96254,No Error,63,2886,No Error,69,Non-Eligible,No Error,39,Eligible,No Error
65,8880,No Error,60,298,No Error,100,51496,No Error,78,20721,No Error,55,75722,No Error,35,60484,No Error,87,Eligible,No Error,34,Non-Eligible,No Error
39,73641,No Error,32,29560,No Error,42,58126,No Error,36,10745,No Error,40,25811,No Error,48,17103,No Error,100,Non-Eligible,EOE,28,Non-Eligible,No Error
52,26435,No Error,83,37334,No Error,77,39917,No Error,27,63601,No Error,38,1087,No Error,36,24234,No Error,76,Eligible,No Error,86,Eligible,No Error
63,47803,No Error,97,2797,EOE,88,77383,No Error,35,67177,No Error,61,62038,No Error,36,62061,No Error,69,Eligible,No Error,70,Eligible,No Error
57,62561,No Error,76,56529,No Error,88,41801,No Error,31,64731,No Error,8,5101,No Error,82,30798,No Error,61,Non-Eligible,No Error,56,Non-Eligible,No Error
41,51891,No Error,50,1472,No Error,50,9193,No Error,12,61788,EOI,20,5625,No Error,74,39411,No Error,54,Non-Eligible,No Error,36,Eligible,No Error
62,38677,No Error,57,78748,No Error,71,31613,No Error,34,56517,No Error,67,67618,No Error,81,29775,No Error,66,Eligible,No Error,68,Non-Eligible,No Error
48,6131,No Error,21,8228,No Error,67,38424,No Error,82,75147,No Error,34,74579,No Error,39,25741,No Error,23,Non-Eligible,No Error,25,Eligible,No Error
55,6533,No Error,34,28351,No Error,87,69378,No Error,27,24930,No Error,83,53417,No Error,48,48929,No Error,38,Eligible,No Error,92,Non-Eligible,EOE
46,85784,No Error,84,20437,No Error,62,32624,No Error,13,53798,EOI,15,11517,No Error,57,15317,No Error,70,Non-Eligible,No Error,34,Non-Eligible,No Error
76,19154,EOE,82,18603,No Error,88,25946,No Error,50,22088,No Error,93,86429,No Error,70,865,No Error,66,Eligible,No Error,86,Non-Eligible,EOE
62,50931,No Error,55,64123,No Error,97,6072,EOE,72,47190,No Error,8,5499,No Error,80,57100,No Error,83,Non-Eligible,EOE,74,Non-Eligible,No Error
45,47090,No Error,30,3022,No Error,55,75726,No Error,16,68370,EOI,32,11679,No Error,96,56502,No Error,73,Eligible,No Error,18,Non-Eligible,No Error
72,33263,No Error,100,2422,EOE,96,17366,No Error,65,28464,No Error,28,14065,No Error,71,10424,No Error,76,Eligible,No Error,99,Non-Eligible,EOE
60,61917,No Error,33,58554,No Error,90,1781,EOE,36,2562,No Error,78,65279,No Error,67,27453,No Error,30,Non-Eligible,No Error,43,Non-Eligible,No Error
66,99686,No Error,69,2152,No Error,86,62310,No Error,61,43046,No Error,61,14585,No Error,55,51985,No Error,42,Non-Eligible,No Error,31,Eligible,No Error
65,90106,No Error,81,46744,No Error,35,65862,No Error,93,4472,EOE,18,37730,No Error,100,75448,No Error,86,Non-Eligible,EOE,99,Non-Eligible,EOE
51,45379,No Error,31,59351,No Error,48,14205,No Error,67,7147,No Error,67,13220,No Error,45,7181,No Error,31,Eligible,No Error,13,Eligible,EOI
73,87013,No Error,94,28886,No Error,38,30311,No Error,96,47400,No Error,82,19593,No Error,57,41220,No Error,73,Eligible,No Error,30,Non-Eligible,No Error
49,9490,No Error,65,64022,No Error,45,19393,No Error,20,31184,No Error,21,17800,No Error,97,65790,No Error,95,Eligible,No Error,29,Non-Eligible,No Error
41,95448,No Error,56,44050,No Error,44,29251,No Error,29,72843,No Error,20,30420,No Error,56,3458,No Error,29,Eligible,No Error,78,Eligible,No Error
45,36466,No Error,38,64130,No Error,70,7833,No Error,42,20697,No Error,18,78088,EOI,59,39644,No Error,63,Non-Eligible,No Error,95,Eligible,No Error
63,64859,No Error,88,60197,No Error,89,30792,No Error,41,3960,No Error,60,91977,No Error,37,50597,No Error,61,Eligible,No Error,100,Eligible,No Error
68,82459,No Error,69,54425,No Error,90,17862,No Error,37,337,No Error,92,4348,EOE,53,6002,No Error,34,Non-Eligible,No Error,54,Non-Eligible,No Error
54,90488,No Error,36,49818,No Error,39,77076,No Error,69,33242,No Error,88,84197,No Error,38,8129,No Error,28,Eligible,No Error,30,Eligible,No Error
65,63730,No Error,77,50772,No Error,35,14283,No Error,42,6007,No Error,74,7402,No Error,97,43902,No Error,66,Eligible,No Error,85,Eligible,No Error
69,82134,No Error,83,8994,EOE,80,52842,No Error,32,67777,No Error,80,64972,No Error,72,67359,No Error,74,Eligible,No Error,38,Non-Eligible,No Error
61,44495,No Error,22,30447,No Error,95,76156,No Error,68,51352,No Error,27,80298,No Error,97,76627,No Error,66,Eligible,No Error,37,Eligible,No Error
73,26340,No Error,94,66509,No Error,67,43681,No Error,81,46989,No Error,33,28001,No Error,91,3395,EOE,28,Eligible,No Error,38,Eligible,No Error
51,23289,No Error,71,73391,No Error,88,44091,No Error,17,72766,EOI,39,88328,No Error,43,1001,No Error,90,Eligible,No Error,77,Eligible,No Error
67,79885,No Error,63,38158,No Error,80,2481,EOE,30,34430,No Error,83,67255,No Error,79,41191,No Error,73,Non-Eligible,No Error,77,Non-Eligible,No Error
66,68454,No Error,36,34790,No Error,78,53175,No Error,51,29496,No Error,76,96349,No Error,89,21363,No Error,23,Non-Eligible,No Error,66,Eligible,No Error
55,80264,No Error,21,12795,No Error,41,47922,No Error,55,40471,No Error,87,70281,No Error,72,3971,No Error,98,Non-Eligible,EOE,29,Eligible,No Error
41,81618,No Error,63,23126,No Error,35,45907,No Error,15,67262,EOI,19,64500,EOI,76,12942,No Error,51,Eligible,No Error,56,Eligible,No Error
48,25290,No Error,43,24477,No Error,39,68676,No Error,16,18948,No Error,99,19379,No Error,44,8213,No Error,69,Eligible,No Error,45,Non-Eligible,No Error
51,98044,No Error,38,22,No Error,75,51250,No Error,40,41614,No Error,39,53796,No Error,63,25527,No Error,72,Eligible,No Error,54,Eligible,No Error
55,97676,No Error,59,24951,No Error,68,50875,No Error,62,39759,No Error,27,45886,No Error,59,19160,No Error,96,Non-Eligible,EOE,31,Eligible,No Error
70,89420,No Error,91,62664,No Error,42,72556,No Error,77,62178,No Error,67,16769,No Error,73,35611,No Error,65,Eligible,No Error,39,Non-Eligible,No Error
83,86392,No Error,100,25442,No Error,91,38960,No Error,52,72600,No Error,91,94065,No Error,81,72304,No Error,45,Eligible,No Error,37,Non-Eligible,No Error
73,82958,No Error,88,14959,No Error,66,44498,No Error,40,74799,No Error,94,71066,No Error,78,64193,No Error,32,Eligible,No Error,68,Non-Eligible,No Error
47,19393,No Error,96,56697,No Error,41,68952,No Error,66,41128,No Error,0,57369,EOI,34,71079,No Error,60,Non-Eligible,No Error,81,Non-Eligible,EOE
54,28049,No Error,53,40631,No Error,69,8562,No Error,22,16603,No Error,78,42476,No Error,49,50314,No Error,39,Non-Eligible,No Error,97,Eligible,No Error
54,11885,No Error,83,73977,No Error,36,64992,No Error,75,13775,No Error,8,33725,No Error,70,65143,No Error,32,Eligible,No Error,53,Non-Eligible,No Error
69,38491,No Error,92,67512,No Error,40,12384,No Error,85,32993,No Error,53,48035,No Error,77,15349,No Error,61,Eligible,No Error,87,Eligible,No Error
32,31089,No Error,32,54087,No Error,41,15759,No Error,17,56443,EOI,40,21843,No Error,30,60924,No Error,74,Eligible,No Error,18,Non-Eligible,No Error
44,48207,No Error,24,59035,EOI,43,59133,No Error,75,65466,No Error,43,52516,No Error,37,51003,No Error,67,Eligible,No Error,33,Eligible,No Error
56,1627,No Error,25,56771,EOI,63,27065,No Error,56,55500,No Error,90,92094,No Error,50,51337,No Error,61,Non-Eligible,No Error,91,Non-Eligible,EOE
63,54553,No Error,100,59603,No Error,78,2530,EOE,15,47260,EOI,94,35197,No Error,32,78406,No Error,52,Non-Eligible,No Error,44,Non-Eligible,No Error
66,11092,No Error,91,3556,EOE,47,24344,No Error,44,21894,No Error,97,83561,No Error,53,66372,No Error,67,Non-Eligible,No Error,63,Eligible,No Error
40,75905,No Error,37,65130,No Error,42,34706,No Error,68,32995,No Error,7,23278,No Error,46,40334,No Error,76,Non-Eligible,No Error,92,Eligible,No Error
70,11786,EOE,57,49358,No Error,88,51467,No Error,91,9863,EOE,53,46784,No Error,64,13614,No Error,38,Non-Eligible,No Error,52,Non-Eligible,No Error
52,7334,No Error,95,27707,No Error,46,17925,No Error,27,18382,No Error,49,61537,No Error,44,16852,No Error,49,Eligible,No Error,74,Eligible,No Error
70,31089,No Error,55,49950,No Error,54,60204,No Error,86,10423,No Error,97,81061,No Error,58,61223,No Error,40,Eligible,No Error,65,Eligible,No Error
